               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.025572,            0.025305,            0.001654,             0.91318,             0.86769,             0.90692,             0.59467,            0.024341,            0.026501,           0.0012904,             0.00307,             0.00307,             0.00307
                  37,            0.025084,            0.026292,           0.0015004,             0.91022,             0.86865,             0.91676,             0.60473,            0.024097,            0.026127,           0.0014808,            0.002872,            0.002872,            0.002872
                  38,             0.02475,            0.025635,           0.0012438,             0.94712,             0.83112,             0.91374,             0.60258,            0.023744,              0.0259,           0.0012147,            0.002674,            0.002674,            0.002674
                  39,            0.024154,            0.025368,           0.0011028,             0.90428,             0.86978,             0.91272,             0.61177,            0.023954,            0.026214,            0.001159,            0.002476,            0.002476,            0.002476
                  40,            0.024021,            0.024469,           0.0013489,             0.95433,              0.8242,             0.90777,             0.60267,            0.023811,            0.026637,           0.0011645,            0.002278,            0.002278,            0.002278
                  41,            0.023162,            0.024143,           0.0010282,             0.93313,              0.8455,             0.90611,             0.60886,            0.023565,            0.026075,           0.0011584,             0.00208,             0.00208,             0.00208
                  42,            0.023531,            0.023937,           0.0012187,             0.92865,             0.85192,             0.90973,             0.61304,            0.023333,             0.02585,           0.0011756,            0.001882,            0.001882,            0.001882
                  43,            0.023291,            0.024601,           0.0012254,             0.90054,             0.87232,             0.91115,             0.61091,            0.023265,            0.025869,           0.0011551,            0.001684,            0.001684,            0.001684
                  44,            0.023109,            0.025133,          0.00096809,             0.93787,             0.83573,             0.91215,             0.61502,            0.023368,            0.025937,           0.0010344,            0.001486,            0.001486,            0.001486
                  45,            0.023553,            0.023959,           0.0010948,             0.94956,             0.82565,             0.91134,             0.60784,            0.023452,             0.02623,           0.0010038,            0.001288,            0.001288,            0.001288
                  46,            0.022407,             0.02348,           0.0011246,             0.92452,              0.8668,             0.91475,             0.62193,            0.023017,            0.025718,           0.0010671,             0.00109,             0.00109,             0.00109
                  47,            0.022663,            0.024524,           0.0010894,             0.92635,             0.86359,              0.9139,             0.61943,            0.022958,            0.025645,           0.0010647,            0.000892,            0.000892,            0.000892
                  48,             0.02253,            0.025604,          0.00096673,             0.93931,             0.85074,             0.91168,              0.6137,             0.02315,            0.025644,          0.00098087,            0.000694,            0.000694,            0.000694
                  49,            0.022016,            0.022822,           0.0010618,             0.92315,             0.86588,             0.91237,             0.61603,            0.023165,            0.025672,          0.00096586,            0.000496,            0.000496,            0.000496
